バレエ応用(中級),6
バレエ応用【トゥーシューズ使用】,6
バレエ基礎,6
バレエ基礎(有料スクール),6
バレエ初級,6
バレエ初級 バー+センター,6
バレエ初級スキルアップ,6
バレエ初級バー+センター,6
バレエ初中級 センター,6
バレエ初中級 バー,6
バレエ初中級センター,6
バレエ初中級センターレッスン,6
バレエ初中級バー,6
バレエ初中級バーレッスン,6
バレエ小学校クラス(高学年以上),6
バレエ中級 センター,6
バレエ中級 センターレッスン,6
バレエ中級 バー,6
バレエ中級 バーレッスン,6
バレエ入門,6
バレエ入門&コアトレーニング,6
バレエ有料スクール,6
バレエ幼児クラス(低学年),6
ヒップアップ,6
ヒップホップ,6
ヒップホップ　初中級,6
ヒップホップ&ストリートダンス,6
ヒップホップ初級,6
フラダンス,6
フラダンス 第1第・3火曜日(有料）,6
プレキッズバレエ(幼稚園)(年中・年長),6
ベリーダンス,6
マリーンズダンスアカデミー キッズクラス,6
マリーンズダンスアカデミー ジュニアクラス,6
マリーンズダンスアカデミー リトルクラス,6
メガダンス,6
メガダンス45,6
モーニングエクササイズ ズンバ,6
やさしいバレエ,6
やさしいバレエ(センター),6
やさしいバレエ(バー),6
やさしいブレイキン(ブレイクダンス),6
ラディカル メガダンス,6
ラデイカル メガダンス,6
ラテンダンス,6
ラテンダンス75,6
ラテンリズム (ラテンダンス),6
リズムダンス,6
レイヴジュニアダンス①,6
レイヴジュニアダンス②,6
ローインパクトシェイプ ダンスミックス,6
ローインパクトシェイプダンスミックス,6
ロックダンス,6
ロックダンス初級,6
楽しいフラダンスⅠ,6
楽しいフラダンスⅡ,6
社交ダンス レベル1,6
社交ダンス(レベル1),6
松山バレエ団スクール,6
有料エイベックスダンスマスター キッズ スターター&ベーシック 中学生も可),6
有料チアダンススクール 高学年,6
有料チアダンススクール 中学生,6
有料チアダンススクール 低学年,6
有料チアダンススクール 幼児,6
有料バレエ,6
有料バレエ レベル2,6
有料社交ダンス,6
幼児プレバレエクラス,6
フリースタイル(レベル1),6
フリースタイルJAZZ,6
プロコリオ,6
プロコリオ(PRO CHOREO),6
ベリーシェイプ,6
ベリーシェイプ50,6
NYスタイルストレッチ,4
Q-Renボディメンテナンス,4
RPBコントロール,4
アクティブストレッチ,4
オキシジェノ,4
ジャイロキネシス,4
ジャイロキネシス７５,4
ストレッチ&ピラティス,4
ピラティス,4
ピラティス PROP MINI BALL,4
ピラティス&ストレッチ,4
ピラティス&ボディーメイク,4
ピラティス&ボディメイク,4
ピラティス50,4
ピラティスPROP MINI BALL,4
マルチプロップピラティス,4
モーニングピラティス,4
温・ピラティス(ＨＯＴ）,4
腰痛・肩こり解消(ピラティス),4
骨盤ストレッチ&ピラティス,4
ストレッチ,4
ストレッチ&コアトレーニング,4
ストレッチ+COREトレーニング(Reebok),4
ストレッチポール,4
ストレッチポール＆ボール,4
ストレッチポールコンディショニング,4
ビューティ・ペルヴィス(骨盤調整）,4
ペイビックストレッチ,4
ペルビックストレッチ,4
(第1,3週)リンパコンディショニング (第2,4,5週))ヨガ,3
BORN TO YOG basic75,3
Gアロマヨガ,3
Gデトックスヨガ,3
Gパワーヨガ,3
NEWYORK STYLEYOGA,3
POWER YOGA,3
Strala Relax,3
VINYASA YOGA,3
YOGA,3
アクティブヨガ,3
アシュタンガヨガ ハーフ プライマリー,3
アシュタンガヨガ ハーフプライマリー,3
アシュタンガヨガ プライマリー,3
アシュタンガヨガ ベーシック,3
アシュタンガヨガ75ハーフプライマリー,3
アシュタンガヨガハーフプライマリー,3
アシュタンガヨガベーシック,3
アロマヨガ,3
アロマリラックスヨガ,3
ヴィンヤーサヨガ,3
ヴィンヤサフローヨガ,3
ヴィンヤサヨガ,3
ウェーブストレッチリングYOGA,3
エナジーフロー75,3
エナジーフローヨガ,3
きれいになるヨガ,3
ココロに効かせるアシュタンガヨガ75,3
ストラーラヨガ(Reebok),3
ストレッチポール&ヨガ,3
スローヴィンヤサヨガ,3
デトックスフローヨガ,3
ナイトヨガ,3
ハートオブヨガ,3
ハタヨガ,3
バランスヨーガ75,3
パワーヨガ,3
パワーヨガ(ReebokONE),3
パワーヨガ1,3
パワーヨガ1(Reebok),3
パワーヨガ2,3
パワーヨガ2(リーボック),3
ヒーリングヨガ,3
ビューティデトックスヨガ,3
ピラティス&ヨガ ベーシック,3
プラチナ会員 シニアも出来ちゃうヨガ,3
フレックスヨガ40,3
フロースタイルヨガ,3
フローヨガ,3
ボディバランスヨガ,3
モーニングエクササイズ ヨガ,3
モーニングヨーガ,3
モーニングヨガ,3
ヨーガ,3
ヨーガ75,3
ヨガ,3
ヨガ　リラックス,3
ヨガ(slow flow),3
ヨガ(アクティブ),3
ヨガ(ディープリラクゼーション),3
ヨガ(ヒーリングフローヨガ),3
ヨガ(やさしいヴィンヤサ),3
ヨガ(リフレッシュ),3
ヨガ(動と静の融合),3
ヨガ×トレ,3
ヨガ1,3
ヨガ2,3
ヨガ５０,3
ヨガセラピー,3
リストラティブ陰ヨガ,3
リフレッシュヨガ,3
リラックスYOGA,3
リラックスフローヨガ,3
リラックスヨガ,3
ルーシーダットン&ハタヨガ,3
温・ヴィンヤサヨガ（HOT),3
温・デトックスヨガ(ＨＯＴ）,3
温・デトックスヨガ（HOT・女性限定),3
温・パワーヨガ(ＨＯＴ）,3
温・フローリラックスヨガ(ＨＯＴ・女性限定）,3
温・ヨガ(ＨＯＴ）,3
温・ヨガ(ＨＯＴ・女性限定）,3
温・リラックスヨガ(ＨＯＴ）,3
温コアヴィンヤサヨガ（ＨＯＴ）,3
温ヨガ（ＨＯＴ・女性限定）,3
温リラックスヨガ（ＨＯＴ）,3
奇数週アロマヨガ 偶数週Tone up Body(Reebok),3
骨盤引き締めヨガ,3
骨盤整えヨガ,3
桜ヨガ BORN TO YOG basic(4/7開催),3
桜ヨガ(4/1.8開催),3
桜ヨガ(4/7開催),3
初めてのパワーヨガ,3
暖ヨガ,3
暖ヨガ30,3
暖ヨガ45,3
朝パワーヨガ,3
朝ヨガ,3
朝ヨガ アシュタンガヨガベーシック,3
内臓ケア陰ヨガ,3
背骨調整ヨガ,3
美ボディー ピラティス&ヨガ,3
目覚ましヨガ,3
癒しのヨガ,3
ハタヴィンヤサ75,3
